Таблица 6 - Контроль целостности данных
No | Ситуация | Аномалия | Реакция приложения | Примечание
1 | Создание пользователя с существующим username | Введен username, который уже есть в системе | Django не позволяет сохранить запись: срабатывает ограничение уникальности и выводится ошибка валидации | Проверка обеспечивается unique для поля User.username на уровне модели и БД
2 | Попытка доступа к модулю приемки пользователем без нужной роли | Пользователь не имеет роль STOREKEEPER/ADMIN | Декоратор role_required отклоняет доступ: для неавторизованного пользователя редирект на login, для авторизованного без прав - 403 (PermissionDenied) | Контроль доступа реализован централизованно в accounts/permissions.py
3 | Добавление дублирующей строки товара в одном заказе | В один Order добавляется второй OrderLine с тем же product | Запись не сохраняется, операция отклоняется ошибкой ограничения уникальности | Действует UniqueConstraint uniq_order_line_order_product
4 | Завершение приемки с некорректными строками | Отсутствуют строки, qty_received <= 0, или storage_location не принадлежит складу документа | ReceivingService.complete_receiving возвращает ошибку, статус приемки не меняется, остатки не создаются | Валидация выполняется до изменения данных; операция выполняется в transaction.atomic
5 | Подтверждение заказа при недостаточном остатке | qty_available по позиции меньше qty_ordered | OrderService.confirm_order не подтверждает заказ и возвращает ошибки; при дефиците формируется backorder | Защищает от фиксации заказа без фактической обеспеченности складом
6 | Попытка отгрузки неподобранного заказа | Для одной или нескольких строк qty_picked < qty_ordered | OrderService.ship_order отклоняет операцию и не списывает резервы/остатки | Предотвращает некорректное списание и переход статуса в SHIPPED
7 | Повторный серийный номер в одной строке приемки | В рамках одной ReceivingLine вводится одинаковый serial_number | Вставка отклоняется ограничением уникальности | Ограничение unique_together: (line, serial_number) в ReceivingSerial
8 | Запрос к API без валидного Bearer-токена | Отсутствует/неверный токен в заголовке Authorization | API возвращает 401 JSON-ошибку и не выполняет бизнес-операцию | Проверка выполняется в api/auth.py, доступ только для активных ApiToken
9 | Попытка создать дублирующий остаток в той же ячейке и партии | Для одинаковых product + storage_location + batch_no создается новый Stock | Создается/обновляется одна запись остатка, дублирование блокируется ограничением уникальности | UniqueConstraint uniq_stock_product_location_batch сохраняет консистентность складского учета
10 | Повторное назначение доступа пользователя к одному складу | Для пары user + warehouse добавляется второй WarehouseAccess | Операция отклоняется ограничением уникальности | UniqueConstraint uniq_warehouse_access_user_warehouse предотвращает конфликт прав доступа
